cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis
68,2,1,30000.0,100000003980083100|100000003200071100,"Доминирующая роль — peripheral (1 из 2); размер 2, seed 1, внутренний оборот 30000 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
69,2,1,81465.0,100000003865939100|100000005392290100,"Доминирующая роль — peripheral (1 из 2); размер 2, seed 1, внутренний оборот 81465 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
70,2,0,584900.0,100000008430691100|100000007330432100,"Доминирующая роль — coordinator (1 из 2); размер 2, seed 0, внутренний оборот 584900 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
71,2,0,300000.0,100000007898453100|100000008427027100,"Доминирующая роль — coordinator (1 из 2); размер 2, seed 0, внутренний оборот 300000 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
72,1,1,0.0,100000000456947100,"Доминирующая роль — peripheral (1 из 1); размер 1, seed 1, внутренний оборот 0 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
73,1,1,0.0,100000003265658100,"Доминирующая роль — peripheral (1 из 1); размер 1, seed 1, внутренний оборот 0 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
74,1,1,0.0,100000003349739100,"Доминирующая роль — peripheral (1 из 1); размер 1, seed 1, внутренний оборот 0 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
75,1,1,0.0,100000003770083100,"Доминирующая роль — peripheral (1 из 1); размер 1, seed 1, внутренний оборот 0 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
76,1,1,0.0,100000004021459100,"Доминирующая роль — peripheral (1 из 1); размер 1, seed 1, внутренний оборот 0 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
77,1,1,0.0,100000004174835100,"Доминирующая роль — peripheral (1 из 1); размер 1, seed 1, внутренний оборот 0 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
78,1,1,0.0,100000005017150100,"Доминирующая роль — peripheral (1 из 1); размер 1, seed 1, внутренний оборот 0 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
79,1,1,0.0,100000005087431100,"Доминирующая роль — peripheral (1 из 1); размер 1, seed 1, внутренний оборот 0 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
80,1,1,0.0,100000005235389100,"Доминирующая роль — peripheral (1 из 1); размер 1, seed 1, внутренний оборот 0 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
81,1,1,0.0,100000005480435100,"Доминирующая роль — peripheral (1 из 1); размер 1, seed 1, внутренний оборот 0 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
82,1,1,0.0,100000005495722100,"Доминирующая роль — peripheral (1 из 1); размер 1, seed 1, внутренний оборот 0 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
83,1,1,0.0,100000005550592100,"Доминирующая роль — peripheral (1 из 1); размер 1, seed 1, внутренний оборот 0 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
84,1,1,0.0,100000005560900100,"Доминирующая роль — peripheral (1 из 1); размер 1, seed 1, внутренний оборот 0 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
85,1,1,0.0,100000005568407100,"Доминирующая роль — peripheral (1 из 1); размер 1, seed 1, внутренний оборот 0 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
86,1,1,0.0,100000008117324100,"Доминирующая роль — peripheral (1 из 1); размер 1, seed 1, внутренний оборот 0 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
87,1,1,0.0,100000008205000100,"Доминирующая роль — peripheral (1 из 1); размер 1, seed 1, внутренний оборот 0 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
88,1,1,0.0,100000008513251100,"Доминирующая роль — peripheral (1 из 1); размер 1, seed 1, внутренний оборот 0 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
89,1,1,0.0,100000008669037100,"Доминирующая роль — peripheral (1 из 1); размер 1, seed 1, внутренний оборот 0 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
90,1,1,0.0,100000008701222100,"Доминирующая роль — peripheral (1 из 1); размер 1, seed 1, внутренний оборот 0 KZT. Структура может отражать связанную группу переводов и требует контекстной проверки."
